label,r,lag,state,count,A_p,A_m,A_pm
cube320_t0022,32,4,HL,746.0,0.8352753427588573,0.9771758331450038,0.7861027797291483
cube320_t0022,32,4,HS,2254.0,0.9980879890041497,1.1029533759284396,0.909817248031111
cube320_t0022,48,4,B,27000.0,0.25714799943687305,0.3873621442013067,0.25136585839829517
cube320_t0022,48,4,HL,710.0,0.9769356023999847,1.1930874373756841,0.9538608973488828
cube320_t0022,48,4,HS,2290.0,1.0932562095732192,1.3630460077068263,1.0849592778609785
cube320_t0022,64,4,B,27000.0,0.30606831695395026,0.4825919733739507,0.30434038690430787
cube320_t0022,64,4,HL,842.0,1.129735287335848,1.3282645825740929,1.081381306084661
cube320_t0022,64,4,HS,2158.0,1.2493292079187694,1.497399083408199,1.2166189138572527
cube320_t0022,80,4,B,27000.0,0.34249187138196596,0.5618818756935168,0.3488904245041027
cube320_t0022,80,4,HL,912.0,1.2001695649973827,1.5321117654844525,1.2154473191367616
cube320_t0022,80,4,HS,2088.0,1.301856315382081,1.618120140229446,1.296622820253576
cube320_t0022,96,4,B,27000.0,0.3765096678925135,0.6387333076526748,0.3888837555833775
cube320_t0022,96,4,HL,1002.0,1.3780610049301163,1.58834083828143,1.3421597175198245
cube320_t0022,96,4,HS,1998.0,1.4204890943757897,1.717555823674683,1.4038312092308964
cube320_t0022,128,4,B,27000.0,0.4327758810338636,0.7835340878184286,0.45173418307837226
cube320_t0022,128,4,HL,1190.0,1.528947440145588,1.5998140015384847,1.4021846165225311
cube320_t0022,128,4,HS,1810.0,1.3277041734917177,1.8855390602297626,1.4139846783552683
cube320_t0022,160,4,B,27000.0,0.5062477825259959,0.9245807766525491,0.5147712168680583
cube320_t0022,160,4,HL,1100.0,1.596594244569734,1.6640055693036677,1.4462931417997031
cube320_t0022,160,4,HS,1900.0,1.2985687851557919,2.071806762084921,1.4818002035596365
cube320_t0022,192,4,B,27000.0,0.6202848256437097,0.9169613181002659,0.5405516278065162
cube320_t0022,192,4,HL,1216.0,1.7288343716459138,1.5563415031196215,1.4358646411120197
cube320_t0022,192,4,HS,1784.0,1.3245692247290821,1.991058223585462,1.4588855296539969
cube320_t0037,32,1,B,108000.0,0.2615771932369092,0.2423537986866706,0.195508441743744
cube320_t0037,32,1,HL,2442.0,0.8441284645379722,0.9712162735839186,0.784642076714491
cube320_t0037,32,1,HS,9558.0,1.0593460997596909,1.125425606114741,0.9841137611123987
cube320_t0037,48,1,B,108000.0,0.3395823478460395,0.306915577893187,0.25405575630421956
cube320_t0037,48,1,HL,2614.0,1.0684962295208758,1.1916000865426521,0.9925186813822844
cube320_t0037,48,1,HS,9386.0,1.3140361602944692,1.3107598456344756,1.1793444385064709
cube320_t0037,64,1,B,108000.0,0.4122330904978171,0.3465147219089623,0.2991170166368481
cube320_t0037,64,1,HL,2976.0,1.1937239679171332,1.3221944977166835,1.1136532675087536
cube320_t0037,64,1,HS,9024.0,1.4682911729327366,1.376240554904733,1.277659625619126
cube320_t0037,80,1,B,108000.0,0.4852542254726568,0.38798545557020647,0.3407023293373921
cube320_t0037,80,1,HL,3272.0,1.252088195262528,1.4955243436655723,1.2212796690785372
cube320_t0037,80,1,HS,8728.0,1.594349648671818,1.5022192076589547,1.3849048321953041
cube320_t0037,96,1,B,108000.0,0.5568225611869697,0.4115236615347403,0.3731228307639429
cube320_t0037,96,1,HL,3492.0,1.3321274053227767,1.568630428004754,1.2799551263655002
cube320_t0037,96,1,HS,8508.0,1.5922758497697558,1.5749135219022314,1.4206784444726053
cube320_t0037,128,1,B,108000.0,0.672670867328177,0.43898051715554076,0.4208882260858937
cube320_t0037,128,1,HL,3384.0,1.2380738462735865,1.6483349726023186,1.28174669785785
cube320_t0037,128,1,HS,8616.0,1.613448992176721,1.5790598280380288,1.4517008904884194
cube320_t0037,160,1,B,108000.0,0.695840251771092,0.47930068434475886,0.4522780113815569
cube320_t0037,160,1,HL,3158.0,1.3362011089286803,1.6076886263255807,1.3284602926756994
cube320_t0037,160,1,HS,8842.0,1.7014159822744601,1.5373433731056283,1.488290313234658
cube320_t0037,192,1,B,108000.0,0.6838205407970117,0.5076026248335507,0.46231300304693584
cube320_t0037,192,1,HL,3066.0,1.421380843606719,1.6099477336738925,1.3908800349316188
cube320_t0037,192,1,HS,8934.0,1.871048400073961,1.445727671838474,1.5290268133334475
cube320_t0037,32,2,B,81000.0,0.26057731050936955,0.24064174792521645,0.19422753306860635
cube320_t0037,32,2,HL,1876.0,0.83698163658068,0.9638392594321249,0.7786957637119362
cube320_t0037,32,2,HS,7124.0,1.0527106647946587,1.1187057855459543,0.9771128700731972
cube320_t0037,48,2,B,81000.0,0.34193139865084166,0.30676321436968607,0.25477075510633274
cube320_t0037,48,2,HL,1890.0,1.0747604911898858,1.187275188334896,0.9912109659269036
cube320_t0037,48,2,HS,7110.0,1.3081922555086334,1.3134350617856798,1.1776049654904879
cube320_t0037,64,2,B,81000.0,0.41281889053637716,0.3476397124830327,0.2996502323923813
cube320_t0037,64,2,HL,2226.0,1.2070116789755112,1.2954620293297125,1.112706504227948
cube320_t0037,64,2,HS,6774.0,1.4758254344967612,1.3703720689552013,1.2790269149841513
cube320_t0037,80,2,B,81000.0,0.4876512514569896,0.3882486222645493,0.3422988908528822
cube320_t0037,80,2,HL,2434.0,1.2489673933159127,1.4975020348661043,1.2183431022635105
cube320_t0037,80,2,HS,6566.0,1.609778623490578,1.5083804667496439,1.391198473436313
cube320_t0037,96,2,B,81000.0,0.5560698080899746,0.41305229061250337,0.37295084463946543
cube320_t0037,96,2,HL,2600.0,1.3285828962169073,1.5741385179965057,1.2806591572531487
cube320_t0037,96,2,HS,6400.0,1.594211845075224,1.5708687171501594,1.4245045694471299
