label,r,lag,start_index,state,count,sum_S2p,sum_S2m,sum_S2pm
cube320_t0037,64,2,0,HL,728.0,883.5626426910396,925.1773928205437,810.4749346129084
cube320_t0037,64,4,0,B,27000.0,11243.617662124761,9406.107558167885,8157.860879161666
cube320_t0037,64,4,0,HS,2272.0,3344.6751563719304,3098.3528923299964,2906.416767988517
cube320_t0037,64,4,0,HL,728.0,883.5626426910396,925.1773928205437,810.4749346129084
cube320_t0037,64,1,1,B,27000.0,11098.521807305136,9413.03479084737,8067.212319756856
cube320_t0037,64,1,1,HS,2292.0,3410.2965738396592,3182.102281999268,2971.4875071434294
cube320_t0037,64,1,1,HL,708.0,821.5541949841567,982.9109960561909,801.4748555763625
cube320_t0037,64,2,1,B,27000.0,11098.521807305136,9413.03479084737,8067.212319756856
cube320_t0037,64,2,1,HS,2292.0,3410.2965738396592,3182.102281999268,2971.4875071434294
cube320_t0037,64,2,1,HL,708.0,821.5541949841567,982.9109960561909,801.4748555763625
cube320_t0037,64,1,2,B,27000.0,11096.190664016653,9339.674362110396,8046.595624864365
cube320_t0037,64,1,2,HS,2210.0,3242.2697630694706,3002.4452207732697,2786.224046970694
cube320_t0037,64,1,2,HL,790.0,981.6911597242919,975.6100884112053,864.9348882221411
cube320_t0037,64,2,2,B,27000.0,11096.190664016653,9339.674362110396,8046.595624864365
cube320_t0037,64,2,2,HS,2210.0,3242.2697630694706,3002.4452207732697,2786.224046970694
cube320_t0037,64,2,2,HL,790.0,981.6911597242919,975.6100884112053,864.9348882221411
cube320_t0037,64,1,3,B,27000.0,11082.843640317697,9264.773255042277,8032.9689729967085
cube320_t0037,64,1,3,HS,2250.0,3252.618051263955,3136.294372357776,2865.472139484352
cube320_t0037,64,1,3,HL,750.0,865.7145311219002,1051.15234791691,837.3474456946383
cube320_t0037,80,1,0,B,27000.0,13197.88864124785,10467.858182424687,9279.319812495485
cube320_t0037,80,1,0,HS,2214.0,3571.374934804686,3366.423643089747,3097.459795979293
cube320_t0037,80,1,0,HL,786.0,970.2258948090358,1159.6761561818205,957.30644123831
cube320_t0037,80,2,0,B,27000.0,13197.88864124785,10467.858182424687,9279.319812495485
cube320_t0037,80,2,0,HS,2214.0,3571.374934804686,3366.423643089747,3097.459795979293
cube320_t0037,80,2,0,HL,786.0,970.2258948090358,1159.6761561818205,957.30644123831
cube320_t0037,80,4,0,B,27000.0,13197.88864124785,10467.858182424687,9279.319812495485
cube320_t0037,80,4,0,HS,2214.0,3571.374934804686,3366.423643089747,3097.459795979293
cube320_t0037,80,4,0,HL,786.0,970.2258948090358,1159.6761561818205,957.30644123831
cube320_t0037,80,1,1,B,27000.0,13162.235441913248,10513.750952401158,9233.73701860659
cube320_t0037,80,1,1,HS,2198.0,3459.591344430031,3354.529355770646,3039.553099633423
cube320_t0037,80,1,1,HL,802.0,1013.9003365648567,1229.45518391389,986.9565397642752
cube320_t0037,80,2,1,B,27000.0,13162.235441913248,10513.750952401158,9233.73701860659
cube320_t0037,80,2,1,HS,2198.0,3459.591344430031,3354.529355770646,3039.553099633423
cube320_t0037,80,2,1,HL,802.0,1013.9003365648567,1229.45518391389,986.9565397642752
cube320_t0037,80,1,2,B,27000.0,13139.627284855062,10466.529268602651,9213.153327981385
